deployment_num,project_name,device_type,am_recorder_lab_id_num,AM_recorder_ID,AM_micro_sd_ID,AM_config_file_name,deployment_team,location_site_name,site_subname,latitude,longitude,gps_source,gps_accuracy_m,AM_housing,height_above_ground_m,dropoff_date,dropoff_time,dropoff_notes,habitat,setting,game_cam_present,num_game_cam_present,game_cam_deploy_num,pickup_date,pickup_time,working_at_retrieval,pickup_notes,recorder_checkin_date,recorder_checkin_notes,card_upload_date,card_upload_notes,card_data_size,FLAG,FLAG_comments
AM0011,Eclipse project,AudioMoth,1,24F3190863FAA5B9,1,eclipse_project2.config,"Erika, Gus",Donnerville,,44.429,-75.107978,,,,,31-Mar-24,15:05,wood frogs calling,Deciduous,Rural,FALSE,,,18-Apr-24,9:08,TRUE,,19-Apr-24,batteries removed and device left out to fully dry before storage,19-Apr-24,,,,
AM0012,Eclipse project,AudioMoth,17,243EBE0164D67B51,24,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht  ",Upper and Lower Lakes,Indian Creek Nature Center,44.600911,-75.285238,,,,,30-Mar-24,14:40,"sunny, c. 48 F, light wind",Mixed ,Rural,FALSE,,,28-Apr-24,15:14,TRUE,,28-Apr-24,batteries removed and device left out to fully dry before storage,28-Apr-24,,,,
AM0013,Eclipse project,AudioMoth,6,2453AC0264D67171,6,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",Upper and Lower Lakes,Indian Creek Nature Center,44.592808,-75.290404,,,,,30-Mar-24,15:30,"sunny, c. 48 F, light wind",Deciduous,Rural,FALSE,,,28-Apr-24,14:40,TRUE,,28-Apr-24,batteries removed and device left out to fully dry before storage,28-Apr-24,,,,
AM0014,Eclipse project,AudioMoth,15,243B1F0663FA5AC8,10,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",Upper and Lower Lakes,Indian Creek Nature Center,44.590335,-75.289551,,,,,30-Mar-24,15:41,"sunny, c. 48F, light breezer",Deciduous,Rural,FALSE,,,28-Apr-24,14:28,TRUE,,28-Apr-24,batteries removed and device left out to fully dry before storage,28-Apr-24,only recorded through 12 April,,,
AM0015,Eclipse project,AudioMoth,7,2403750364D67B21,17,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",Upper and Lower Lakes,Indian Creek Nature Center,44.591051,-75.300596,,,,,30-Mar-24,16:02,successional (early) growth,Deciduous,Rural,FALSE,,,28-Apr-24,13:57,TRUE,,28-Apr-24,batteries removed and device left out to fully dry before storage,28-Apr-24,,,,
AM0016,Eclipse project,AudioMoth,13,242A260463FAA578,16,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",Upper and Lower Lakes,Indian Creek Nature Center,44.590114,-75.296048,,,,,30-Mar-24,15:10,"sunny, c. 48F light breeze",Deciduous,Rural,FALSE,,,28-Apr-24,14:08,TRUE,,29-Apr-24,batteries removed and device left out to fully dry before storage,29-Apr-24,,,,
AM0017,Eclipse project,AudioMoth,22,24F3190863FAB496,19,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",Upper and Lower Lakes,,44.57808,-75.306596,,,,,30-Mar-24,16:18,"sunny, c. 48F light breeze",Deciduous,Rural,FALSE,,,28-Apr-24,13:44,TRUE,,29-Apr-24,batteries removed and device left out to fully dry before storage,29-Apr-24,,,,
AM0018,Eclipse project,AudioMoth,10,243EBE0164D67739,14,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",Upper and Lower Lakes,,44.601558,-75.26774,,,,,30-Mar-24,14:16,"sunny, c. 48F, light breeze",Mixed,Rural,FALSE,,,4-May-24,15:22,TRUE,had to bike down road - gate closed on 15 April 2024,5-May-24,batteries removed and device left out to fully dry before storage,5-May-24,,,,
AM0019,Eclipse project,AudioMoth,19,243B1F0663FAA578,8,eclipse_project2.config,"Erika, Gus, Kelsey SImler, Evelyn Albrecht",Upper and Lower Lakes,,44.569722,-75.291678,,,,,30-Mar-24,16:57,"sunny, c. 48 F, light wind",Deciduous,Rural,FALSE,,,4-May-24,14:43,TRUE,had to bike down road - gate closed on 15 April 2024; vernal pool smaller but still with some standing water a few inches deep,5-May-24,batteries removed and device left out to fully dry before storage,5-May-24,,,,
AM0020,Eclipse project,AudioMoth,9,2466BE0464D67B31,9,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",Upper and Lower Lakes,,44.576828,-75.284838,,,,,30-Mar-24,16:39,,Deciduous,Rural,FALSE,,,4-May-24,14:15,TRUE,had to bike down road - gate closed on 15 April 2024; wetland area is basically dry; some mud but no standing water,5-May-24,batteries removed and device left out to fully dry before storage,5-May-24,,,,
AM0021,Summer 2024 test 1,AudioMoth,17,243EBE0164D67B51,25,July_test_48_24hr.config,"Erika, Gus",Erika's camp,Site 1,44.4931067,-75.08547655,,,,,28-Jun-24,13:31,"Bottom position on t-post; Deployed at ELB camp with 2 other audiomoths and 1 game camera. Deployed along foot/game trail. Camera facing N, Audomoths facing East. Can hear creek, road traffic as well as birds at site. Near Little River headwaters. 1 minute of Merlin recording yields red-eyed vireo, common yellowthroat, scarlet tanager, black-capped chickadee. At configuration prior to deployment, time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM",Deciduous,Rural,TRUE,,,17-Jul-24,10:43,TRUE,flashing green and red lights,17-Jul-24,batteries removed and unit allowed to dry before storage,2-Aug-24,last recording July 5 at 9:44 pm,53.41 gb,FALSE,
AM0022,Summer 2024 test 1,AudioMoth,11,2466BE0146D67B51,23,July_test_48_24hr.config,"Erika, Gus",Kip Tract,Site 2,44.58567,-75.134656,,,,,28-Jun-24,14:34,"Middle position on t-post; See AM0030 for other deployment details. At configuration, time app says clock may be running fast - possible hardware problem; message only on first time applying time to AM",Deciduous,Rural,TRUE,,,17-Jul-24,11:42,TRUE,flashing green and red lights,17-Jul-24,"batteries removed, unit left out to dry before long term storage",19-Jul-24,"last recording July 2, 2024 at 4:47 am; 5 files labeled Dec 31, 1979 at 11:00 pm with zero bytes data on card as well.",63.83 gb,FALSE,
